Name,Description
BUILDING,"A building, such as a house, barn, church, hotel, or similar construction, is created principally to shelter any form of human activity. ""Building"" may also be used to refer to a historically and functionally related unit, such as a courthouse and jail or a house and barn."
SITE,"A site is the location of a significant event, a prehistoric or historic occupation or activity, or a building or structure, whether standing, ruined, or vanished, where the location itself possesses historic, cultural, or archeological value regardless of the value of any existing structure."
STRUCTURE,"The term ""structure"" is used to distinguish from buildings those functional constructions made usually for purposes other than creating human shelter."
OBJECT,"The term ""object"" is used to distinguish from buildings and structures those constructions that are primarily artistic in nature or are relatively small in scale and simply constructed. Although it may be, by nature or design, movable, an object is associated with a specific setting or environment."
DISTRICT,"A district possesses a significant concentration, linkage, or continuity of sites, buildings, structures, or objects united historically or aesthetically by plan or physical development"
